Sun Dec 21 18:16:01 2014:DEBUG:init: simpleNbox initialized.
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.atmos_c[-1]=588.071
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.veg_c[-1]=550
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.detritus_c[-1]=55
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.soil_c[-1]=1782
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.f_nppv[-1]=0.35
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.f_nppd[-1]=0.60
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.f_litterd[-1]=0.98
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.f_lucv[-1]=0.1
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.f_lucd[-1]=0.01
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.npp_flux0[-1]=50.0
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.beta[-1]=0.36
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.q10_rh[-1]=2.45
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.Ftalbedo[1750]=0.0
Sun Dec 21 18:16:01 2014:DEBUG:setData: Setting global.Ftalbedo[1950]=-0.2
